id,categoria,servicio,descripcion,requisitos,modalidad,horario,contacto,enlace,palabras_clave
1,Apoyo académico,Tutorías de Matemática,"Sesiones de refuerzo para álgebra, cálculo y estadística dirigidas por docentes y tutores pares.","Estar matriculado y reservar un cupo con 24 horas de anticipación.",Híbrida,"Lunes a viernes de 09:00 a 18:00",tutorias@campusconecta.edu,https://campusconecta.edu/tutorias,"matemática cálculo álgebra estadística refuerzo notas"
2,Apoyo académico,Centro de Escritura,"Asesoría para mejorar informes, ensayos, citas y redacción académica. No redacta trabajos completos por el estudiante.","Enviar el borrador al reservar la cita.",Virtual,"Martes y jueves de 10:00 a 19:00",escritura@campusconecta.edu,https://campusconecta.edu/escritura,"redacción ensayo informe APA citas ortografía"
3,Bienestar,Orientación psicológica,"Atención breve y confidencial para estudiantes que requieren orientación emocional o adaptación universitaria.","Completar el formulario de solicitud. Las emergencias se derivan a servicios especializados.",Presencial y virtual,"Lunes a sábado de 08:00 a 20:00",bienestar@campusconecta.edu,https://campusconecta.edu/bienestar,"psicología bienestar estrés ansiedad adaptación apoyo"
4,Bienestar,Taller de manejo del estrés,"Taller grupal con técnicas de organización, respiración y hábitos de estudio saludables.","Inscripción previa. Cupos limitados.",Presencial,"Miércoles de 16:00 a 17:30",bienestar@campusconecta.edu,https://campusconecta.edu/taller-estres,"estrés organización hábitos estudio taller"
5,Empleabilidad,Revisión de CV,"Retroalimentación personalizada sobre currículum, perfil profesional y presentación de logros.","Subir el CV en formato PDF antes de la sesión.",Virtual,"Lunes y miércoles de 14:00 a 19:00",empleabilidad@campusconecta.edu,https://campusconecta.edu/cv,"currículum CV empleo prácticas perfil profesional"
6,Empleabilidad,Simulación de entrevista,"Entrevista práctica con preguntas por competencias y retroalimentación al finalizar.","Contar con CV actualizado y elegir el puesto objetivo.",Híbrida,"Viernes de 10:00 a 17:00",empleabilidad@campusconecta.edu,https://campusconecta.edu/entrevista,"entrevista trabajo prácticas selección competencias"
7,Empleabilidad,Bolsa de prácticas,"Portal con convocatorias de prácticas preprofesionales y empleos junior de empresas aliadas.","Tener perfil estudiantil completo y datos de contacto actualizados.",Virtual,"Disponible las 24 horas",bolsa@campusconecta.edu,https://campusconecta.edu/bolsa,"prácticas empleo vacantes trabajo empresas"
8,Becas,Beca de excelencia académica,"Descuento parcial para estudiantes con alto rendimiento durante el ciclo anterior.","Promedio ponderado mínimo de 16 y no registrar sanciones disciplinarias.",Virtual,"Convocatoria en enero y julio",becas@campusconecta.edu,https://campusconecta.edu/beca-excelencia,"beca excelencia promedio descuento rendimiento"
9,Becas,Apoyo económico temporal,"Evaluación de ayuda parcial para estudiantes con una dificultad económica imprevista y sustentada.","Presentar solicitud, declaración y documentos de sustento.",Virtual,"Evaluación durante todo el ciclo",becas@campusconecta.edu,https://campusconecta.edu/apoyo-economico,"ayuda económica descuento emergencia pago pensión"
10,Becas,Beca deportiva,"Beneficio para estudiantes que representan oficialmente a la institución en disciplinas reconocidas.","Evaluación deportiva, constancia de representación y rendimiento académico satisfactorio.",Presencial,"Postulación durante las dos primeras semanas del ciclo",deportes@campusconecta.edu,https://campusconecta.edu/beca-deportiva,"deporte beca selección competencia atleta"
11,Tecnología,Préstamo de laptops,"Préstamo temporal de equipos para actividades académicas dentro o fuera del campus.","Documento de identidad, matrícula vigente y aceptación del reglamento de préstamo.",Presencial,"Lunes a sábado de 08:00 a 21:00",soporte@campusconecta.edu,https://campusconecta.edu/laptops,"laptop computadora préstamo equipo tecnología"
12,Tecnología,Soporte de aula virtual,"Ayuda con acceso, contraseña, carga de tareas y visualización de cursos en la plataforma.","Indicar código de estudiante, curso y adjuntar captura del error.",Virtual,"Lunes a domingo de 07:00 a 23:00",soporte@campusconecta.edu,https://campusconecta.edu/soporte,"aula virtual contraseña plataforma tarea acceso error"
13,Tecnología,Licencias de software,"Acceso educativo a herramientas de productividad, programación y análisis de datos.","Correo institucional activo y aceptación de las condiciones de uso.",Virtual,"Disponible las 24 horas",licencias@campusconecta.edu,https://campusconecta.edu/software,"software licencia office programación datos"
14,Biblioteca,Préstamo de libros,"Préstamo de material bibliográfico físico por siete días, con opción de renovación si no existe reserva.","Carné o documento de identidad y no tener sanciones pendientes.",Presencial,"Lunes a sábado de 08:00 a 21:00",biblioteca@campusconecta.edu,https://campusconecta.edu/biblioteca,"libro biblioteca préstamo renovación"
15,Biblioteca,Bases de datos académicas,"Acceso remoto a artículos, revistas y libros electrónicos mediante el correo institucional.","Autenticarse con la cuenta institucional.",Virtual,"Disponible las 24 horas",biblioteca@campusconecta.edu,https://campusconecta.edu/bases-datos,"artículos revistas investigación base de datos tesis"
16,Biblioteca,Asesoría para investigación,"Orientación para buscar fuentes confiables, construir palabras clave y organizar referencias.","Reservar cita e indicar el tema de investigación.",Híbrida,"Martes a sábado de 09:00 a 18:00",investigacion@campusconecta.edu,https://campusconecta.edu/investigacion,"investigación fuentes referencias tesis búsqueda"
17,Idiomas,Club de conversación en inglés,"Práctica grupal de conversación por niveles con temas cotidianos y profesionales.","Realizar una prueba de nivel breve.",Presencial,"Jueves de 17:00 a 18:30",idiomas@campusconecta.edu,https://campusconecta.edu/club-ingles,"inglés conversación idiomas speaking práctica"
